,SAMPLE_NAME,ENA_FILE_PATH,READ_COUNT,POPULATION,MD5SUM
95,HG00102,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240119/HG00102.final.cram,743537782,GBR,6341c6a92db5fa0c498bcff5238e8321
97,HG00116,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240132/HG00116.final.cram,1029658318,GBR,8301b2004ca37d52c079d30e411b63bb
110,HG00255,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240182/HG00255.final.cram,775622610,GBR,3d33769b4958aba01099d0cd1a7aff69
345,NA20502,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239785/NA20502.final.cram,770831494,TSI,829300e788532ebefb309d3b404ff1dc
347,HG00131,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240139/HG00131.final.cram,761786370,GBR,8aadd7fe8f28394e6c99a873067c981c
350,NA20514,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239797/NA20514.final.cram,720515702,TSI,2b10e6c2f4e1d7bda9df7da739214d0e
353,HG00145,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240150/HG00145.final.cram,678268792,GBR,2080c314299bcc9e3d795927a0266105
356,NA11930,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239463/NA11930.final.cram,668517650,CEU,aee53f9f287963846fa6899d7be6792f
473,HG01756,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3242116/HG01756.final.cram,752108130,IBS,14a2004c4d10e532df001484b50fa6d8
508,HG00242,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240206/HG00242.final.cram,911499316,GBR,a7473804c49bd4f2c66bab5bd6004530
511,HG00268,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240225/HG00268.final.cram,709708752,FIN,09a517736ee28400fcaebd2e7fabbc11
519,HG00364,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240264/HG00364.final.cram,734815942,FIN,2da31c15aa41519864b7930486f1f986
579,HG00096,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240114/HG00096.final.cram,768049130,GBR,d3354f61a055adfcfc988470bc507b2d
