SAMPLE_NAME,ENA_FILE_PATH,READ_COUNT,POPULATION,MD5SUM
HG00449,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240188/HG00449.final.cram,714040052,CHS,7cf9e0047d3c446cc01f393aedc0d2da
HG00159,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240200/HG00159.final.cram,762604954,GBR,94fd57aab695551ad5bf74777e2fe170
HG00239,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240205/HG00239.final.cram,791955626,GBR,918b4f98ea3e1b60d79f0c2402f9982f
NA18595,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239502/NA18595.final.cram,736305744,CHB,7811e9c2456ef1cfbc87a7ade58f4c67
NA18625,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239522/NA18625.final.cram,792881344,CHB,bd16c7d6f57f893138036cea1b4bec27
NA20783,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239857/NA20783.final.cram,761704024,TSI,245fe0d9b2119d10a4a1c832a443eaf8
NA20796,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239864/NA20796.final.cram,759439710,TSI,a85ee403b9ad63b5a8514978992eabbf
NA20797,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239865/NA20797.final.cram,707920692,TSI,7c9f394f535944d695ab59206b6940e5
NA20804,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239872/NA20804.final.cram,660018342,TSI,18b348000b970e71ee4faa0dc0e8616f
HG00256,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240213/HG00256.final.cram,742361974,GBR,d22be21101ae1d5ebd61d215deda6449
HG00259,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240216/HG00259.final.cram,719885808,GBR,e84f413e65e7074de3b21fd832dd0ec4
HG00263,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240220/HG00263.final.cram,693567762,GBR,2f2f64037bc08a5430ad1f9ad0809b01
HG00269,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240226/HG00269.final.cram,690440930,FIN,66b4b0844bb3ac7044e587bf584e08cd
NA18633,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239529/NA18633.final.cram,917106600,CHB,bcc96f1f8324d9b41508e34c63a31161
